region,zone,district,conf_u5,conf_ov5
Addis Ababa,Addis Ketema,Addis Ketema (AA),8,122
Addis Ababa,Akaki Kality,Akaki - Kalit,9,81
Addis Ababa,Bole,Bole,2,8
Addis Ababa,Kolfe,Kolfe - Keran,38,131
Addis Ababa,Nifas Silk Lafto,Nefas Silk,1,11
Addis Ababa,Yeka,Yeka,2,19
Afar,Zone 1,Adar,350,1970
Afar,Zone 1,Afambo,681,2435
Afar,Zone 1,Asayita,486,1489
Afar,Zone 1,Asayita town,776,2840
Afar,Zone 1,Chifra,2428,4779
Afar,Zone 1,Dubti,40,65
Afar,Zone 1,Dubti town,109,169
Afar,Zone 1,Elidar,64,270
Afar,Zone 1,Kori,4,62
Afar,Zone 1,Mile,791,2178
Afar,Zone 1,Samera Logiya town,275,1698
Afar,Zone 2,Abaala,84,197
Afar,Zone 2,Abaala town,45,245
Afar,Zone 2,Berahile,367,912
Afar,Zone 2,Bidu,9,12
Afar,Zone 2,Dalol,119,222
Afar,Zone 2,Erebti,126,573
Afar,Zone 2,Kunneba,468,1887
Afar,Zone 2,Megale,1124,2334
Afar,Zone 3,Amibara,4389,17169
Afar,Zone 3,Arguba,15,140
Afar,Zone 3,Awash,648,3845
Afar,Zone 3,Awash town,6,67
Afar,Zone 3,Dulecha,583,2237
Afar,Zone 3,Gelalu,570,1970
Afar,Zone 3,Gewane,422,1074
Afar,Zone 3,Hanruka,1132,1927
Afar,Zone 4,Awra (AF),1475,3178
Afar,Zone 4,Euwa,409,1216
Afar,Zone 4,Gulina,827,1821
Afar,Zone 4,Teru,439,1123
Afar,Zone 4,Yalo,302,1442
Afar,Zone 5,Dalefage,237,658
Afar,Zone 5,Dawe,234,767
Afar,Zone 5,Hadelela,61,173
Afar,Zone 5,Samurobi,464,959
Afar,Zone 5,Telalek,620,2031
Amhara,Awi,Ankasha,11,190
Amhara,Awi,Ayehu Guwagusa,144,1987
Amhara,Awi,Banja,4,132
Amhara,Awi,Chagni town,314,1782
Amhara,Awi,Dangila,71,1171
Amhara,Awi,Dangila town,6,91
Amhara,Awi,Fagta Lakoma,2,59
Amhara,Awi,Guagusa Shikudad,10,103
Amhara,Awi,Guangua,56,756
Amhara,Awi,Injibara town,1,20
Amhara,Awi,Jawi,3850,16316
Amhara,Awi,Zigem,202,1419
Amhara,Bahirdar,Bahir Dar town,2630,13981
Amhara,Central Gondar,Alfa,250,4479
Amhara,Central Gondar,Chilga 1,73,2244
Amhara,Central Gondar,Chilga 2,352,3382
Amhara,Central Gondar,East Belesa,498,3364
Amhara,Central Gondar,East Dembia,1059,9496
Amhara,Central Gondar,Gonder Zuria,3664,23584
Amhara,Central Gondar,Kinfaz,364,2848
Amhara,Central Gondar,Lay Armacho,22,1285
Amhara,Central Gondar,Tach Armacho,2933,14032
Amhara,Central Gondar,Takusa,305,3660
Amhara,Central Gondar,Tsegede (AM),1022,9834
Amhara,Central Gondar,Wegera,32,908
Amhara,Central Gondar,West Belesa,610,4455
Amhara,Central Gondar,West Dembiya,412,3849
Amhara,Dessie,Dessie town,1,2
Amhara,East Gojjam,Aneded,136,2281
Amhara,East Gojjam,Awabel,94,2552
Amhara,East Gojjam,Baso Liben,441,14466
Amhara,East Gojjam,Bibugn,16,341
Amhara,East Gojjam,Debay Telatgen,1,13
Amhara,East Gojjam,Debre Elias,69,4536
Amhara,East Gojjam,Debre Markos town,12,211
Amhara,East Gojjam,Dejen,22,728
Amhara,East Gojjam,Enarj Enawga,36,288
Amhara,East Gojjam,Enebse Sarmder,2,294
Amhara,East Gojjam,Enemay,8,148
Amhara,East Gojjam,Goncha Siso Enebse,18,313
Amhara,East Gojjam,Guzamn,118,3659
Amhara,East Gojjam,Hulet Ej Enese,493,2237
Amhara,East Gojjam,Michakel,16,156
Amhara,East Gojjam,Mota Town,30,129
Amhara,East Gojjam,Sedae,2,36
Amhara,East Gojjam,Shebel Bernta,29,1667
Amhara,Gondar,Gonder town,459,5425
Amhara,North Gondar,Addi Arekay,171,2155
Amhara,North Gondar,Beyeda,1,9
Amhara,North Gondar,Dabat,507,3481
Amhara,North Gondar,Debark,191,1846
Amhara,North Gondar,Janamora,51,1354
Amhara,North Gondar,Telemt,72,1350
Amhara,North Shewa,Antsokiya,21,299
Amhara,North Shewa,Berehet,42,319
Amhara,North Shewa,Eferatana Gidem,77,458
Amhara,North Shewa,Ensaro,32,811
Amhara,North Shewa,Kewet,19,151
Amhara,North Shewa,Merhabete,45,1602
Amhara,North Shewa,Mida Woremo,149,3642
Amhara,North Shewa,Moretna Jiru,1,52
Amhara,North Shewa,Shoa Robit,123,1461
Amhara,North Wollo,Bugna,108,1382
Amhara,North Wollo,Dawunt,1,46
Amhara,North Wollo,Gidan,1,7
Amhara,North Wollo,Guba Lafto,97,522
Amhara,North Wollo,Habru,167,1148
Amhara,North Wollo,Kobo town,509,2628
Amhara,North Wollo,Lalibela town,8,54
Amhara,North Wollo,Lasta,175,1462
Amhara,North Wollo,Meket,25,426
Amhara,North Wollo,Raya Kobo,173,3045
Amhara,North Wollo,Wadla,1,9
Amhara,North Wollo,Woldiya town,2,86
Amhara,Oromia Special,Artuma Fursi,140,629
Amhara,Oromia Special,Bati,96,475
Amhara,Oromia Special,Bati Town,32,142
Amhara,Oromia Special,Dewa Cheffa,138,944
Amhara,Oromia Special,Dewa Harewa,65,456
Amhara,Oromia Special,Jilye Tumuga,522,1538
Amhara,Oromia Special,Kemisie town,44,364
Amhara,South Gondar,Debre Tabor town,6,253
Amhara,South Gondar,Dera (AM),3495,23172
Amhara,South Gondar,East Esite,235,5076
Amhara,South Gondar,Ebenat,555,5505
Amhara,South Gondar,Farta,217,2261
Amhara,South Gondar,Fogera,3898,23331
Amhara,South Gondar,Guna Begemider,81,1422
Amhara,South Gondar,Lay Gayint,61,1506
Amhara,South Gondar,Libokemekem,1603,16019
Amhara,South Gondar,Mena Meketewa,3,204
Amhara,South Gondar,Sede Muja,115,1240
Amhara,South Gondar,Semada,119,1797
Amhara,South Gondar,Tach Gayint,9,334
Amhara,South Gondar,West Esite,580,5183
Amhara,South Gondar,Woreta town,1046,6718
Amhara,South Wollo,Ambasel,10,53
Amhara,South Wollo,Argoba,34,342
Amhara,South Wollo,Borena /Debresina,3,419
Amhara,South Wollo,Delanta,5,95
Amhara,South Wollo,Kalu,286,2186
Amhara,South Wollo,Kelela,42,1363
Amhara,South Wollo,Kombolcha town,4,324
Amhara,South Wollo,Kutaber,5,59
Amhara,South Wollo,Legambo,2,10
Amhara,South Wollo,Legehida,5,24
Amhara,South Wollo,Mehal Sayint,12,105
