region,zone,district,Month,Year,date,test_performed,confirmed_all,confirmed_u5,confirmed_5_14,confirmed_15,pop_5,pop_514,pop_15
Addis Ababa,Addis Ketema,Addis Ketema (AA),July,2021,1/07/2021,97,3,1,0,2,50741.8302,88159.39645,212193.8328
Addis Ababa,Addis Ketema,Addis Ketema (AA),August,2021,1/08/2021,148,70,0,1,69,50741.8302,88159.39645,212193.8328
Addis Ababa,Addis Ketema,Addis Ketema (AA),September,2021,1/09/2021,142,5,0,0,5,50741.8302,88159.39645,212193.8328
Addis Ababa,Addis Ketema,Addis Ketema (AA),October,2021,1/10/2021,190,93,0,6,87,50741.8302,88159.39645,212193.8328
Addis Ababa,Addis Ketema,Addis Ketema (AA),November,21,1/11/2021,194,87,6,3,78,50741.8302,88159.39645,212193.8328
Addis Ababa,Addis Ketema,Addis Ketema (AA),December,2021,1/12/2021,194,25,0,1,24,50741.8302,88159.39645,212193.8328
Addis Ababa,Addis Ketema,Addis Ketema (AA),January,2021,1/01/2021,146,62,0,2,60,50741.8302,88159.39645,212193.8328
Addis Ababa,Addis Ketema,Addis Ketema (AA),February,2021,1/02/2021,189,72,0,2,70,50741.8302,88159.39645,212193.8328
Addis Ababa,Addis Ketema,Addis Ketema (AA),March,2021,1/03/2021,243,18,0,0,18,50741.8302,88159.39645,212193.8328
Addis Ababa,Addis Ketema,Addis Ketema (AA),April,2021,1/04/2021,184,23,0,2,21,50741.8302,88159.39645,212193.8328
Addis Ababa,Addis Ketema,Addis Ketema (AA),May,2021,1/05/2021,166,15,0,0,15,50741.8302,88159.39645,212193.8328
Addis Ababa,Addis Ketema,Addis Ketema (AA),June,2021,1/06/2021,163,43,2,4,37,50741.8302,88159.39645,212193.8328
Addis Ababa,Akaki Kality,Akaki - Kalit,July,2021,1/07/2021,105,17,2,1,14,36476.04123,63373.86269,152536.6934
Addis Ababa,Akaki Kality,Akaki - Kalit,August,2021,1/08/2021,124,3,0,0,3,36476.04123,63373.86269,152536.6934
Addis Ababa,Akaki Kality,Akaki - Kalit,September,2021,1/09/2021,129,10,0,0,10,36476.04123,63373.86269,152536.6934
Addis Ababa,Akaki Kality,Akaki - Kalit,October,2021,1/10/2021,193,23,0,0,23,36476.04123,63373.86269,152536.6934
