"region","zone","district","Month","Year","Date","female","male","conf_5","conf_514","conf_15","cases"
"Addis Ababa","Addis Ketema","Addis Ketema","July","2022",2022-01-01,12,19,2,2,27,31
"Addis Ababa","Addis Ketema","Addis Ketema","August","2022",2022-01-01,5,6,1,1,9,11
"Addis Ababa","Addis Ketema","Addis Ketema","September","2022",2022-01-01,22,50,0,0,72,72
"Addis Ababa","Addis Ketema","Addis Ketema","October","2022",2022-01-01,5,13,1,3,14,18
"Addis Ababa","Addis Ketema","Addis Ketema","November","2022",2022-01-01,5,13,0,1,17,18
"Addis Ababa","Addis Ketema","Addis Ketema","December","2022",2022-01-01,2,8,0,0,10,10
"Addis Ababa","Addis Ketema","Addis Ketema","January","2022",2022-01-01,2,4,0,0,6,6
"Addis Ababa","Addis Ketema","Addis Ketema","February","2022",2022-01-01,1,11,0,1,11,12
"Addis Ababa","Addis Ketema","Addis Ketema","March","2022",2022-01-01,5,12,1,0,16,17
"Addis Ababa","Addis Ketema","Addis Ketema","April","2022",2022-01-01,3,14,0,1,16,17
"Addis Ababa","Addis Ketema","Addis Ketema","May","2022",2022-01-01,1,15,0,0,16,16
"Addis Ababa","Addis Ketema","Addis Ketema","June","2022",2022-01-01,2,13,0,1,14,15
"Addis Ababa","Akaki Kality","Akaki Kality","July","2022",2022-01-01,19,19,2,1,35,38
"Addis Ababa","Akaki Kality","Akaki Kality","August","2022",2022-01-01,43,24,0,9,58,67
"Addis Ababa","Akaki Kality","Akaki Kality","September","2022",2022-01-01,9,10,0,2,17,19
"Addis Ababa","Akaki Kality","Akaki Kality","October","2022",2022-01-01,26,32,7,9,42,58
"Addis Ababa","Akaki Kality","Akaki Kality","November","2022",2022-01-01,15,34,6,9,34,49
"Addis Ababa","Akaki Kality","Akaki Kality","December","2022",2022-01-01,10,18,1,3,24,28
"Addis Ababa","Akaki Kality","Akaki Kality","January","2022",2022-01-01,6,19,1,1,23,25
"Addis Ababa","Akaki Kality","Akaki Kality","February","2022",2022-01-01,3,20,1,0,22,23
"Addis Ababa","Akaki Kality","Akaki Kality","March","2022",2022-01-01,4,14,3,1,14,18
"Addis Ababa","Akaki Kality","Akaki Kality","April","2022",2022-01-01,8,20,2,1,25,28
"Addis Ababa","Akaki Kality","Akaki Kality","May","2022",2022-01-01,6,24,0,1,29,30
"Addis Ababa","Akaki Kality","Akaki Kality","June","2022",2022-01-01,12,31,2,1,40,43
"Addis Ababa","Arada","Arada","July","2022",2022-01-01,4,6,0,0,10,10
"Addis Ababa","Arada","Arada","August","2022",2022-01-01,0,1,0,1,0,1
"Addis Ababa","Arada","Arada","September","2022",2022-01-01,3,12,1,0,14,15
"Addis Ababa","Arada","Arada","October","2022",2022-01-01,3,11,3,0,11,14
"Addis Ababa","Arada","Arada","November","2022",2022-01-01,3,8,1,1,9,11
"Addis Ababa","Arada","Arada","December","2022",2022-01-01,4,6,1,1,8,10
"Addis Ababa","Arada","Arada","January","2022",2022-01-01,5,6,0,0,11,11
"Addis Ababa","Arada","Arada","February","2022",2022-01-01,2,9,0,2,9,11
"Addis Ababa","Arada","Arada","March","2022",2022-01-01,1,1,0,0,2,2
"Addis Ababa","Arada","Arada","April","2022",2022-01-01,3,5,1,0,7,8
"Addis Ababa","Arada","Arada","May","2022",2022-01-01,7,14,1,0,20,21
"Addis Ababa","Arada","Arada","June","2022",2022-01-01,9,13,1,1,20,22
"Addis Ababa","Bole","Bole","July","2022",2022-01-01,4,7,0,0,11,11
